Time in Milliseconds, Duration from start, Key
1589141124921,117791, 
1589141125084,117954,CapsLock
1589141125084,117954,t
1589141125231,118101,h
1589141125349,118219,e
1589141125427,118297,y
1589141125472,118342, 
1589141125614,118484,h
1589141125714,118584,a
1589141125788,118658,v
1589141125950,118820,e
1589141126030,118900, 
1589141126155,119025,a
1589141126297,119167,t
1589141126442,119312,t
1589141126611,119481,r
1589141126751,119621,a
1589141126816,119686,c
1589141126996,119866,t
1589141127155,120025,e
1589141127350,120220,d
1589141127443,120313, 
1589141127576,120446,a
1589141127641,120511, 
1589141127761,120631,w
1589141127927,120797,i
1589141128006,120876,d
1589141128172,121042,e
1589141128254,121124, 
1589141128355,121225,a
1589141128544,121414,d
1589141128636,121506,u
1589141128829,121699,l
1589141128932,121802,t
1589141129001,121871, 
1589141129105,121975,a
1589141129204,122074,u
1589141129273,122143,d
1589141129451,122321,e
1589141129561,122431,i
1589141129877,122747,n
1589141130001,122871,c
1589141130100,122970,e
1589141130193,123063, 
1589141130329,123199,a
1589141130435,123305,s
1589141130554,123424, 
1589141130654,123524,w
1589141130758,123628,e
1589141130768,123638,l
1589141130960,123830,l
1589141131045,123915, 
1589141131171,124041,a
1589141131240,124110,s
1589141131351,124221, 
1589141131490,124360,a
1589141131612,124482,y
1589141131730,124600,o
1589141131992,124862,Backspace
1589141132141,125011,Backspace
1589141132491,125361,y
1589141132674,125544,o
1589141132730,125600,u
1589141132908,125778,n
1589141132957,125827,g
1589141133116,125986,e
1589141133173,126043,r
1589141133274,126144, 
1589141133366,126236,r
1589141133420,126290,e
1589141133506,126376,a
1589141133600,126470,d
1589141133721,126591,e
1589141133797,126667,r
1589141133962,126832,s
1589141134054,126924, 
1589141134140,127010,f
1589141134312,127182,r
1589141134461,127331,o
1589141134560,127430,m
1589141134600,127470, 
1589141134693,127563,a
1589141134788,127658,l
1589141134995,127865,l
1589141135061,127931, 
1589141135349,128219,g
1589141135526,128396,e
1589141135639,128509,n
1589141135713,128583,e
1589141135773,128643,r
1589141135882,128752,a
1589141135957,128827,t
1589141136107,128977,i
1589141136247,129117,o
1589141136283,129153,n
1589141136392,129262,s
1589141136782,129652,.
1589141136856,129726, 
1589141137087,129957,CapsLock
1589141137087,129957,t
1589141137292,130162,h
1589141137420,130290,e
1589141137555,130425,y
1589141137585,130455, 
1589141137703,130573,a
1589141137767,130637,r
1589141137823,130693,e
1589141137892,130762, 
1589141138047,130917,c
1589141138136,131006,o
1589141138243,131113,n
1589141138588,131458,Backspace
1589141138762,131632,Backspace
1589141138904,131774,f
1589141139120,131990,Backspace
1589141139238,132108,Backspace
1589141139437,132307,o
1589141139491,132361,f
1589141139650,132520,t
1589141139808,132678,e
1589141139971,132841,n
1589141140099,132969, 
1589141140279,133149,c
1589141140391,133261,o
1589141140450,133320,n
1589141140537,133407,s
1589141140698,133568,i
1589141140732,133602,d
1589141140986,133856,e
1589141141117,133987,r
1589141141204,134074,e
1589141141386,134256,d
1589141141499,134369, 
1589141141592,134462,c
1589141141742,134612,o
1589141141969,134839,r
1589141142093,134963,n
1589141142218,135088,e
1589141142278,135148,r
1589141142423,135293,s
1589141142547,135417,t
1589141142678,135548,o
1589141142755,135625,n
1589141142875,135745,e
1589141142924,135794,s
1589141142987,135857, 
1589141143116,135986,o
1589141143214,136084,f
1589141143258,136128, 
1589141143509,136379,m
1589141143595,136465,o
1589141143659,136529,d
1589141143796,136666,e
1589141143926,136796,r
1589141144050,136920,n
1589141144103,136973, 
1589141144538,137408,y
1589141144695,137565,o
1589141144719,137589,u
1589141144885,137755,n
1589141145017,137887,g
1589141145109,137979, 
1589141145469,138339,a
1589141145714,138584,c
1589141146664,139534,d
1589141147081,139951,l
1589141147418,140288,j
1589141147616,140486, 
1589141148245,141115,a
1589141148341,141211,d
1589141148449,141319,u
1589141148720,141590,Backspace
1589141149043,141913,u
1589141149220,142090,l
1589141149375,142245,t
1589141149484,142354, 
1589141149724,142594,l
1589141149829,142699,i
1589141149909,142779,t
1589141150067,142937,e
1589141150151,143021,r
1589141150293,143163,a
1589141150358,143228,t
1589141150499,143369,u
1589141150574,143444,r
1589141150658,143528,e
1589141150859,143729,.
1589141150924,143794, 
1589141151487,144357,A
1589141151559,144429,CapsLock
1589141151803,144673,s
1589141151914,144784, 
1589141152006,144876,o
1589141152102,144972,f
1589141152156,145026, 
1589141152279,145149,f
1589141152430,145300,e
1589141152514,145384,b
1589141152632,145502,r
1589141152706,145576,u
1589141152825,145695,a
1589141152877,145747,r
1589141153141,146011,y
1589141153230,146100, 
1589141153526,146396,t
1589141153691,146561,w
1589141153767,146637,e
1589141153855,146725,n
1589141153976,146846,t
1589141154085,146955,y
1589141154141,147011, 
1589141154668,147538,e
1589141154741,147611,i
1589141154847,147717,g
1589141154944,147814,h
1589141155177,148047,t
1589141155289,148159,o
1589141155485,148355,e
1589141155701,148571,e
1589141155954,148824,n
